accountsservice 0.6.55-3
simplescreenrecorder 0.4.3-1
slop 7.5-5
snapd 2.51.3-2
spectre-meltdown-checker 0.44-1
speedtest-cli 2.1.3-1
spotify 1:1.1.56.595-1
spotify-player 0.1.0-2
spotify-tui 0.24.0-1
subversion 1.14.1-3
sudo 1.9.7.p2-1
sysfsutils 2.1.1-1
syslog-ng 3.33.1-1
systemd 248.7-1
systemd-fsck-silent 239-1
systemd-resolvconf 248.7-1
systemd-sysvcompat 248.7-1
tar 1.34-1
tealdeer 1.4.1-6
terminus-font 4.49.1-2
texinfo 6.8-1
texlab 3.2.0-1
texlive-bibtexextra 2021.58697-1
texlive-core 2021.58710-2
texlive-fontsextra 2021.58704-1
texlive-formatsextra 2021.57972-1
texlive-games 2021.56833-1
texlive-humanities 2021.58589-1
texlive-latexextra 2021.58668-2
texlive-music 2021.58331-1
texlive-pictures 2021.58558-1
texlive-pstricks 2021.58293-1
texlive-publishers 2021.58683-1
texlive-science 2021.58667-1
tlp 1.3.1-2
tmux 3.2_a-1
tree 1.8.0-2
ttf-dejavu 2.37+18+g9b5d1b2f-3
ttf-droid 20121017-10
ttf-font-awesome 5.15.4-1
ttf-ibm-plex 5.2.1-1
ttf-inconsolata 1:3.000-3
ttf-indic-otf 0.2-11
ttf-liberation 2.1.4-1
unzip 6.0-14
upower 0.99.12-2
usbutils 013-1
util-linux 2.37.1-3
valgrind 3.17.0-1
vertex-maia-themes 20180519-4
vi 1:070224-5
vibrancy-icons-teal 2.7-1
viewnior 1.7-3
vim 8.2.2891-1
visual-studio-code-bin 1.59.0-1
vlc 3.0.16-3
volumeicon 0.5.1-5
vulkan-intel 21.1.6-1
vulkan-radeon 21.1.6-1
w3m 0.5.3.git20210102_6-1
wallpapers-juhraya 1.1-2
wget 1.21.1-1
which 2.21-5
wimlib 1.13.3-1
windscribe-cli 1.4_51-1
wireguard-tools 1.0.20210424-1
wmutils 1:1.4-1
wpa_supplicant 2:2.9-8
xarchiver 0.5.4.17-1
xautolock 2.2-6
xbindkeys 1.8.7-2
xcursor-chameleon-pearl 0.5-5
xcursor-maia 20160417-2
xdg-user-dirs 0.17-3
xdg-utils 1.1.3+19+g9816ebb-1
xdotool 3.20210804.2-1
xf86-input-elographics 1.4.2-2
xf86-input-evdev 2.10.6-2
xf86-input-libinput 1.1.0-1
xf86-input-void 1.4.1-5
xf86-video-amdgpu 21.0.0-1
xf86-video-ati 1:19.1.0-2
xf86-video-intel 1:2.99.917+916+g31486f40-1
xf86-video-nouveau 1.0.17-1
xfburn 0.6.2-1
xfce4-power-manager 4.16.0-3
xfsprogs 5.12.0-1
xkeycaps 2.47-1
xorg-server 1.20.13-1
xorg-twm 1.0.11-1
xorg-xev 1.2.4-1
xorg-xhost 1.0.8-2
xorg-xinit 1.4.1-3
xorg-xkill 1.0.5-2
xorg-xprop 1.2.5-1
xterm 368-1
xz 5.2.5-1
yarn 1.22.11-1
yay 10.3.1-1
youtube-dl 2021.06.06-1
zensu 0.3-1
zip 3.0-9
zoom 5.7.4-1
zoxide-bin 0.7.3-1
